site_no,lat,lon,huc2,huc4,huc6,huc8,rfc
01017060,46.7836111,-67.9891667,01,0101,010100,01010004,NERFC
01017550,46.62805556,-67.9530556,01,0101,010100,01010005,NERFC
01018009,46.11527778,-67.84027778,01,0101,010100,01010005,NERFC
01021470,44.8008333,-67.725,01,0105,010500,01050002,NERFC
01022294,44.85909167,-68.10396389,01,0105,010500,01050002,NERFC
01022840,44.33277778,-68.2066667,01,0105,010500,01050002,NERFC
01063310,43.85555556,-70.6397222,01,0106,010600,01060001,NERFC
01069700,43.37916667,-70.5833333,01,0106,010600,01060003,NERFC
01073000,43.1486955,-70.9650603,01,0106,010600,01060003,NERFC
010735562,42.94897557,-71.16478279,01,0106,010600,01060003,NERFC
01073785,43.0358333,-70.8475,01,0106,010600,01060003,NERFC
01095434,42.36453675,-71.775349,01,0107,010700,01070004,NERFC
01097300,42.51259289,-71.40422829,01,0107,010700,01070005,NERFC
01098500,NA,NA,01,0107,010700,01070005,NA
01100505,42.8492547,-71.2150607,01,0107,010700,01070002,NERFC
01100568,42.46703909,-71.2722795,01,0107,010700,01070002,NERFC
01102345,42.4695404,-71.0069954,01,0109,010900,01090001,NERFC
01103025,42.40704077,-71.1339422,01,0109,010900,01090001,NERFC
01103455,42.25398645,-71.29339017,01,0109,010900,01090001,NERFC
01104405,42.436484,-71.2695014,01,0109,010900,01090001,NERFC
01104430,42.3981512,-71.2733903,01,0109,010900,01090001,NERFC
01104455,42.37259606,-71.27033448,01,0109,010900,01090001,NERFC
01104475,42.3545408,-71.2681121,01,0109,010900,01090001,NERFC
01104480,42.3556519,-71.2650565,01,0109,010900,01090001,NERFC
01105600,42.1903779,-70.9447679,01,0109,010900,01090001,NERFC
01105608,42.21305556,-70.92638889,01,0109,010900,01090001,NERFC
01105638,NA,NA,NA,NA,NA,NA,NA
01105876,41.94177039,-70.6225338,01,0109,010900,01090002,NERFC
01105880,41.70011074,-70.1069625,01,0109,010900,01090002,NERFC
011058837,41.59233175,-70.50780579,01,0109,010900,01090002,NERFC
01109070,41.840379,-71.142824,01,0109,010900,01090004,NERFC
01111300,41.9812093,-71.68590049,01,0109,010900,01090003,NERFC
01115098,41.8525992,-71.6061754,01,0109,010900,01090004,NERFC
01115110,41.84676589,-71.6117311,01,0109,010900,01090004,NERFC
01115114,41.83759929,-71.6120089,01,0109,010900,01090004,NERFC
01115170,41.84093269,-71.584508,01,0109,010900,01090004,NERFC
01115183,41.79759966,-71.5847857,01,0109,010900,01090004,NERFC
01115187,41.8187102,-71.7050677,01,0109,010900,01090004,NERFC
01115190,41.8223213,-71.70034528,01,0109,010900,01090004,NERFC
01115265,41.7906548,-71.6986785,01,0109,010900,01090004,NERFC
01115276,41.7853772,-71.6672885,01,0109,010900,01090004,NERFC
01115280,41.80398827,-71.6497879,01,0109,010900,01090004,NERFC
01115630,41.6267667,-71.6325646,01,0109,010900,01090004,NERFC
01117350,41.4823233,-71.5511719,01,0109,010900,01090005,NERFC
01117468,41.49260037,-71.6281194,01,0109,010900,01090005,NERFC
01118300,41.4748222,-71.8342361,01,0109,010900,01090005,NERFC
011277905,41.3686111,-72.2022222,01,0110,011000,01100003,NERFC
01135150,44.47616707,-72.1245431,01,0108,010801,01080102,NERFC
01139800,44.0928419,-72.33565327,01,0108,010801,01080103,NERFC
01168250,42.66644444,-73.0303611,01,0108,010802,01080203,NERFC
01174565,42.45508906,-72.3817516,01,0108,010802,01080204,NERFC
01175670,42.26509185,-72.0047973,01,0108,010802,01080204,NERFC
01184100,41.96083889,-72.7104861,01,0108,010802,01080205,NERFC
01184490,41.9138972,-72.5497,01,0108,010802,01080205,NERFC
01188000,41.786209,-72.9648261,01,0108,010802,01080207,NERFC
01195100,41.3061722,-72.5310333,01,0110,011000,01100004,NERFC
01195490,41.6034722,-72.8832,01,0110,011000,01100004,NERFC
01196561,41.4356083,-72.7794917,01,0110,011000,01100004,NERFC
012035055,41.4065472,-73.2731833,01,0110,011000,01100005,NERFC
01203600,41.57585,-73.1784667,01,0110,011000,01100005,NERFC
01208873,41.1798189,-73.21900219,01,0110,011000,01100006,NERFC
01208950,41.15287436,-73.3059495,01,0110,011000,01100006,NERFC
01209105,41.22874167,-73.3241194,01,0110,011000,01100006,NERFC
012095493,41.31408889,-73.4928944,01,0110,011000,01100006,NERFC
01209761,41.1743222,-73.51107778,01,0110,011000,01100006,NERFC
01303500,40.8572222,-73.4633333,02,0203,020302,02030201,NERFC
01304500,40.9136111,-72.6866667,02,0203,020302,02030202,NERFC
01305000,NA,NA,NA,NA,NA,NA,NA
01306460,40.77194444,-73.1586111,02,0203,020302,02030202,NERFC
01308500,40.7086111,-73.3283333,02,0203,020302,02030202,NERFC
01309500,40.68888889,-73.4547222,02,0203,020302,02030202,NERFC
01311500,40.6636111,-73.7044444,02,0203,020302,02030202,NERFC
01342743,42.9852222,-74.9904444,02,0202,020200,02020004,NERFC
01349711,42.185,-74.2769444,02,0202,020200,02020005,NERFC
01350120,42.4061111,-74.4472222,02,0202,020200,02020005,NERFC
01350140,42.42888889,-74.4730556,02,0202,020200,02020005,NERFC
01360640,42.55194444,-73.59138889,02,0202,020200,02020006,NERFC
013621955,42.10888889,-74.4519444,02,0202,020200,02020006,NERFC
01367805,NA,NA,NA,NA,NA,NA,NA
01374559,41.47055556,-73.76,02,0203,020301,02030101,NERFC
01374598,41.4758611,-73.6894722,02,0203,020301,02030101,NERFC
0137462010,41.41180556,-73.69375,02,0203,020301,02030101,NERFC
01374781,41.3273611,-73.5914722,02,0203,020301,02030101,NERFC
01374890,41.2602222,-73.6018611,02,0203,020301,02030101,NERFC
01374930,41.33813889,-73.7686944,02,0203,020301,02030101,NERFC
01374941,41.2876111,-73.75363889,02,0203,020301,02030101,NERFC
01377370,41.03666667,-74.0391667,02,0203,020301,02030103,MARFC
01379530,40.74444444,-74.3536111,02,0203,020301,02030103,MARFC
